128up	FBgn0176208	FBgn0182597	
CG18193	FBgn0178592	FBgn0265132	
CG18213	FBgn0170310	FBgn0191734	
CG18223	FBgn0169831	FBgn0184050	
CG18231	FBgn0169900	FBgn0186431	
CG18233	FBgn0169899	FBgn0186430	
CG18234	FBgn0169898	FBgn0186429	
CG1824	FBgn0166485	FBgn0187572	
CG18249	FBgn0178571	FBgn0190043	
CG18258	FBgn0168427	FBgn0188897	
CG18262	FBgn0166177	FBgn0188467	
CG18265	FBgn0180556	FBgn0084710	
CG18266	FBgn0173470	FBgn0194740	
CG18268	FBgn0165401	FBgn0190957	
CG18269	FBgn0173463	FBgn0194736	
CG1827	FBgn0176018	FBgn0182434	
CG18273	FBgn0173941	FBgn0188091	
CG18292	FBgn0166402	FBgn0188584	
CG18302	FBgn0173456	FBgn0195091	
CG18304	FBgn0168663	FBgn0193931	
CG18316	FBgn0175889	FBgn0187034	
CG18317	FBgn0171512	FBgn0194294	
CG1832	FBgn0171030	FBgn0193041	
CG18324	FBgn0176395	FBgn0182785	
CG18327	FBgn0176393	FBgn0182784	
CG18335	FBgn0175336	FBgn0197200	
CG18336	FBgn0175334	FBgn0197198	
CG18343	FBgn0176213	FBgn0182603	
CG18347	FBgn0178855	FBgn0190310	
CG18367	FBgn0176851	FBgn0183218	
CG18371	FBgn0176384	FBgn0182759	
CG1840	FBgn0174553	FBgn0188628	
CG18404	FBgn0167805	FBgn0192938	
CG18417	FBgn0169763	FBgn0185711	
CG18418	FBgn0168885	FBgn0184959	
CG18420	FBgn0169597	FBgn0193400	
CG18428	FBgn0181410	FBgn0192519	
CG18437	FBgn0171263	FBgn0192781	
CG18446	FBgn0176043	FBgn0182458	
CG18449	FBgn0175575	FBgn0186945	
CG18467	FBgn0176652	FBgn0183017	
CG18469	FBgn0174879	FBgn0196778	
CG1847	FBgn0168046	FBgn0188625	
CG18472	FBgn0165303	FBgn0192753	
CG18473	FBgn0178662	FBgn0190129	
CG18476	FBgn0180939	FBgn0192113	
CG18480	FBgn0171027	FBgn0195376	
CG1850	FBgn0175688	FBgn0186981	
CG18507	FBgn0165626	FBgn0195281	
CG18508	FBgn0173748	FBgn0187965	
CG18522	FBgn0180618	FBgn0191812	
CG18528	FBgn0178358	FBgn0189829	
CG18530	FBgn0178912	FBgn0190360	
CG18536	FBgn0176738	FBgn0183106	
CG18540	FBgn0176741	FBgn0183110	
CG18545	FBgn0178742	FBgn0190209	
CG18549	FBgn0178904	FBgn0190354	
CG18557	FBgn0173096	FBgn0194190	
CG18558	FBgn0173097	FBgn0194191	
CG18568	FBgn0175123	FBgn0197009	
CG18577	FBgn0178787	FBgn0190256	
CG18581	FBgn0179376	FBgn0184311	
CG18585	FBgn0168398	FBgn0193884	
CG18598	FBgn0170213	FBgn0190725	
CG18599	FBgn0170215	FBgn0190727	
CG18600	FBgn0170225	FBgn0191661	
CG18605	FBgn0176805	FBgn0183174	
CG18607	FBgn0176821	FBgn0183190	
CG18609	FBgn0174766	FBgn0196660	
CG18616	FBgn0178911	FBgn0190359	
CG18619	FBgn0172977	FBgn0195047	
CG18622	FBgn0170316	FBgn0191739	
CG18628	FBgn0180078	FBgn0185936	
CG18635	FBgn0174835	FBgn0196735	
CG18636	FBgn0169607	FBgn0193402	
CG18643	FBgn0178809	FBgn0190274	
CG18649	FBgn0179372	FBgn0184308	
CG18659	FBgn0175511	FBgn0181877	
CG18662	FBgn0172225	FBgn0194957	
CG18666	FBgn0173728	FBgn0195128	
CG18672	FBgn0167864	FBgn0192994	
CG18673	FBgn0167865	FBgn0192995	
CG18675	FBgn0169552	FBgn0185518	
CG1868	FBgn0175477	FBgn0181843	
CG18682	FBgn0167123	FBgn0188914	
CG18731	FBgn0167746	FBgn0192890	
CG18735	FBgn0170603	FBgn0196478	
CG18744	FBgn0165404	FBgn0190959	
CG18745	FBgn0165407	FBgn0190962	
CG18746	FBgn0165405	FBgn0190960	
CG18747	FBgn0165408	FBgn0190963	
CG18754	FBgn0181368	FBgn0192479	
CG18764	FBgn0178825	FBgn0190289	
CG18765	FBgn0180934	FBgn0192108	
CG18766	FBgn0165071	FBgn0190714	
CG18769	FBgn0169711	FBgn0185658	
CG18788	FBgn0181554	FBgn0195180	
CG18808	FBgn0168878	FBgn0184953	
CG18810	FBgn0178227	FBgn0195619	
CG18812	FBgn0175642	FBgn0181999	
CG18815	FBgn0180146	FBgn0186002	
CG1882	FBgn0175865	FBgn0182282	
CG18869	FBgn0169539	FBgn0083458	
CG1887	FBgn0169082	FBgn0185139	
CG18870	FBgn0170622	FBgn0196496	
CG1888	FBgn0175480	FBgn0181846	
CG1890	FBgn0171363	FBgn0193025	
CG1896	FBgn0171364	FBgn0193026	
CG1902	FBgn0176022	FBgn0182437	
CG1907	FBgn0167733	FBgn0192878	
CG1909	FBgn0181654	FBgn0195746	
CG1910	FBgn0171365	FBgn0027802	
CG1924	FBgn0168081	FBgn0187584	
CG1927	FBgn0169078	FBgn0185133	
CG1942	FBgn0175858	FBgn0182276	
CG1943	FBgn0173683	FBgn0191391	
CG1950	FBgn0168151	FBgn0187591	
CG1951	FBgn0167689	FBgn0192836	
CG1958	FBgn0172419	FBgn0188423	
CG1965	FBgn0165872	FBgn0191390	
CG1968	FBgn0175995	FBgn0182415	
CG1969	FBgn0167751	FBgn0192893	
CG1971	FBgn0171371	FBgn0193031	
CG1979	FBgn0165867	FBgn0191388	
CG1983	FBgn0167113	FBgn0188808	
CG1986	FBgn0166284	FBgn0187687	
CG1998	FBgn0166434	FBgn0187538	
CG1999	FBgn0172426	FBgn0068644	
CG2003	FBgn0171373	FBgn0193033	
CG2004	FBgn0175998	FBgn0187734	
CG2006	FBgn0167723	FBgn0192871	
CG2010	FBgn0167725	FBgn0192873	
CG2014	FBgn0167728	FBgn0192874	
CG2017	FBgn0165530	FBgn0191068	
CG2021	FBgn0169096	FBgn0185151	
CG2022	FBgn0165611	FBgn0191133	
CG2023	FBgn0165533	FBgn0191070	
CG2025	FBgn0167969	FBgn0187611	
CG2034	FBgn0169398	FBgn0185377	
CG2046	FBgn0165535	FBgn0191073	
CG2051	FBgn0165536	FBgn0191074	
CG2053	FBgn0171375	FBgn0193035	
CG2059	FBgn0172420	FBgn0196083	
CG2061	FBgn0166397	FBgn0188583	
CG2063	FBgn0175496	FBgn0181863	
CG2082	FBgn0165537	FBgn0191076	
CG2091	FBgn0165539	FBgn0191078	
CG2100	FBgn0165541	FBgn0191080	
CG2104	FBgn0165545	FBgn0191082	
CG2107	FBgn0169441	FBgn0185422	
CG2111	FBgn0166370	FBgn0188561	
CG2113	FBgn0169442	FBgn0185423	
CG2116	FBgn0166171	FBgn0188460	
CG2118	FBgn0171328	FBgn0187888	
CG2120	FBgn0166173	FBgn0188463	
CG2121	FBgn0175572	FBgn0181947	
CG2124	FBgn0166369	FBgn0188557	
CG2126	FBgn0171329	FBgn0187899	
CG2127	FBgn0175573	FBgn0186943	
CG2129	FBgn0166174	FBgn0188464	
CG2137	FBgn0175843	FBgn0182260	
CG2144	FBgn0175841	FBgn0182257	
CG2145	FBgn0166387	FBgn0188571	
CG2147	FBgn0166185	FBgn0188470	
CG2157	FBgn0166383	FBgn0188568	
CG2162	FBgn0169445	FBgn0185425	
CG2177	FBgn0181637	FBgn0195726	
CG2182	FBgn0165548	FBgn0191085	
CG2183	FBgn0175894	FBgn0182318	
CG2186	FBgn0166382	FBgn0196105	
CG2199	FBgn0169144	FBgn0185192	
CG2200	FBgn0166543	FBgn0196124	
CG2201	FBgn0171050	FBgn0193059	
CG2209	FBgn0166538	FBgn0196122	
CG2211	FBgn0169145	FBgn0185193	
CG2217	FBgn0167102	FBgn0188704	
CG2218	FBgn0167098	FBgn0188671	
CG2219	FBgn0178097	FBgn0195731	
CG2224	FBgn0167094	FBgn0188629	
CG2233	FBgn0166165	FBgn0187770	
CG2254	FBgn0166161	FBgn0187767	
CG2258	FBgn0166157	FBgn0187766	
CG2260	FBgn0166155	FBgn0187764	
CG2263	FBgn0166151	FBgn0187762	
CG2267	FBgn0167082	FBgn0188505	
CG2277	FBgn0169150	FBgn0185197	
CG2278	FBgn0166145	FBgn0195903	
CG2291	FBgn0175587	FBgn0192868	
CG2292	FBgn0175438	FBgn0197285	
CG2310	FBgn0167178	FBgn0189312	
CG2316	FBgn0178096	FBgn0195730	
CG2321	FBgn0167180	FBgn0189334	
CG2336	FBgn0165847	FBgn0191368	
CG2444	FBgn0167985	FBgn0187627	
CG2453	FBgn0166449	FBgn0187550	
CG2469	FBgn0169323	FBgn0185317	
CG2493	FBgn0178191	FBgn0193123	
CG2519	FBgn0165571	FBgn0191102	
CG2540	FBgn0166518	FBgn0188655	
CG2543	FBgn0166515	FBgn0196116	
CG2574	FBgn0166503	FBgn0188648	
CG2577	FBgn0166502	FBgn0188647	
CG2604	FBgn0165603	FBgn0191129	
CG2608	FBgn0178225	FBgn0195618	
CG2611	FBgn0178228	FBgn0195620	
CG2614	FBgn0178229	FBgn0195621	
CG2616	FBgn0165915	FBgn0191426	
CG2617	FBgn0178231	FBgn0195623	
CG2641	FBgn0165919	FBgn0191431	
CG2650	FBgn0173768	FBgn0063996	
CG2652	FBgn0173769	FBgn0195934	
CG2656	FBgn0165882	FBgn0191399	
CG2658	FBgn0173766	FBgn0195933	
CG2663	FBgn0165584	FBgn0191111	
CG2680	FBgn0173763	FBgn0187978	
CG2681	FBgn0174142	FBgn0063993	
CG2685	FBgn0173762	FBgn0187977	
CG2698	FBgn0165937	FBgn0191445	
CG2712	FBgn0174149	FBgn0188215	
CG2736	FBgn0166713	FBgn0196217	
CG2747	FBgn0165384	FBgn0190936	
CG2750	FBgn0168082	FBgn0188638	
CG2767	FBgn0165387	FBgn0190940	
CG2772	FBgn0166081	FBgn0183750	
CG2781	FBgn0165389	FBgn0190942	
CG2789	FBgn0171663	FBgn0194423	
CG2794	FBgn0171664	FBgn0194424	
CG2811	FBgn0166720	FBgn0196223	
CG2812	FBgn0170980	FBgn0187120	
CG2816	FBgn0173335	FBgn0194635	
CG2818	FBgn0173336	FBgn0194636	
CG2837	FBgn0172971	FBgn0194079	
CG2846	FBgn0165394	FBgn0190950	
CG2852	FBgn0170545	FBgn0196428	
CG2854	FBgn0174123	FBgn0188205	
CG2862	FBgn0173273	FBgn0194571	
CG2865	FBgn0173793	FBgn0187992	
CG2887	FBgn0166253	FBgn0187672	
CG2901	FBgn0167247	FBgn0188246	
CG2909	FBgn0166360	FBgn0068686	
CG2911	FBgn0165556	FBgn0084076	
CG2915	FBgn0175622	FBgn0181981	
CG2918	FBgn0173797	FBgn0187995	
CG2921	FBgn0170583	FBgn0196460	
CG2924	FBgn0173798	FBgn0187996	
CG2926	FBgn0165562	FBgn0191096	
CG2931	FBgn0165563	FBgn0191097	
CG2938	FBgn0167646	FBgn0187940	
CG2943	FBgn0165396	FBgn0190952	
CG2950	FBgn0172975	FBgn0194083	
CG2964	FBgn0173275	FBgn0194573	
CG2974	FBgn0166279	FBgn0195885	
CG2975	FBgn0173277	FBgn0194575	
CG2976	FBgn0172979	FBgn0194086	
CG2982	FBgn0167276	FBgn0188273	
CG2983	FBgn0173278	FBgn0194576	
CG2990	FBgn0166342	FBgn0188545	
CG2991	FBgn0173281	FBgn0194578	
CG2993	FBgn0165399	FBgn0190956	
CG30001	FBgn0175461	FBgn0181826	
CG30008	FBgn0176046	FBgn0182461	
CG30010	FBgn0176040	FBgn0182456	
CG30015	FBgn0175369	FBgn0197226	
CG30033	FBgn0176156	FBgn0182550	
CG30037	FBgn0175280	FBgn0197152	
CG30039	FBgn0175273	FBgn0197145	
CG30047	FBgn0176246	FBgn0182625	
CG30050	FBgn0176264	FBgn0182643	
CG30051	FBgn0176272	FBgn0182650	
CG30053	FBgn0175224	FBgn0197099	
CG30054	FBgn0176291	FBgn0182668	
CG30058	FBgn0175186	FBgn0197064	
CG30065	FBgn0176348	FBgn0187078	
CG30075	FBgn0176419	FBgn0182809	
CG30076	FBgn0175089	FBgn0196961	
CG3008	FBgn0173405	FBgn0194692	
CG30080	FBgn0175007	FBgn0196887	
CG30083	FBgn0175006	FBgn0196886	
CG30087	FBgn0176513	FBgn0182890	
CG30088	FBgn0176512	FBgn0182889	
CG30089	FBgn0176518	FBgn0182893	
CG30090	FBgn0176511	FBgn0182888	
CG30091	FBgn0176509	FBgn0182886	
CG30093	FBgn0176525	FBgn0182900	
CG30094	FBgn0176545	FBgn0182920	
CG30095	FBgn0176542	FBgn0182917	
CG30096	FBgn0174947	FBgn0196832	
CG30098	FBgn0174942	FBgn0196827	
CG30099	FBgn0174950	FBgn0196834	
CG30100	FBgn0176564	FBgn0191842	
CG30101	FBgn0174874	FBgn0196776	
CG30103	FBgn0176661	FBgn0183025	
CG30105	FBgn0174851	FBgn0196752	
CG3011	FBgn0167544	FBgn0187851	
CG30114	FBgn0176733	FBgn0183101	
CG30116	FBgn0174789	FBgn0196685	
CG30118	FBgn0174792	FBgn0196689	
CG30120	FBgn0176766	FBgn0183135	
CG30122	FBgn0174777	FBgn0196674	
CG30148	FBgn0174681	FBgn0264784	
CG30151	FBgn0174684	FBgn0196588	
CG30152	FBgn0176908	FBgn0183275	
CG30154	FBgn0176893	FBgn0183261	
CG30156	FBgn0175710	FBgn0182055	
CG30157	FBgn0175713	FBgn0182058	
CG30158	FBgn0175787	FBgn0182205	
CG30159	FBgn0175792	FBgn0182211	
CG30161	FBgn0166748	FBgn0196244	
CG30172	FBgn0173190	FBgn0196293	
CG30177	FBgn0170962	FBgn0183535	
CG30181	FBgn0170452	FBgn0196350	
CG30183	FBgn0170438	FBgn0196336	
CG30184	FBgn0170945	FBgn0183517	
CG30185	FBgn0170939	FBgn0183512	
CG30187	FBgn0170519	FBgn0196409	
CG30192	FBgn0170904	FBgn0183480	
CG30195	FBgn0170544	FBgn0196427	
CG30196	FBgn0170536	FBgn0196424	
CG30197	FBgn0176433	FBgn0182819	
CG3021	FBgn0174010	FBgn0188144	
CG30222	FBgn0170759	FBgn0183345	
CG30259	FBgn0170532	FBgn0196420	
CG30263	FBgn0170770	FBgn0183355	
CG30269	FBgn0170853	FBgn0183431	
CG30270	FBgn0170866	FBgn0183443	
CG30271	FBgn0170869	FBgn0183446	
CG30273	FBgn0170852	FBgn0183429	
CG30274	FBgn0170871	FBgn0183448	
CG30279	FBgn0170806	FBgn0187114	
CG30280	FBgn0170797	FBgn0183384	
CG30281	FBgn0170799	FBgn0183385	
CG30283	FBgn0170629	FBgn0196500	
CG30284	FBgn0170619	FBgn0196493	
CG30285	FBgn0170611	FBgn0196486	
CG30286	FBgn0170631	FBgn0196504	
CG30287	FBgn0170630	FBgn0196503	
CG30291	FBgn0170677	FBgn0196548	
CG3032	FBgn0172392	FBgn0187798	
CG30324	FBgn0174951	FBgn0196835	
CG30325	FBgn0174828	FBgn0196727	
CG3033	FBgn0167548	FBgn0187852	
CG30334	FBgn0175242	FBgn0197118	
CG30338	FBgn0176021	FBgn0182436	
CG30339	FBgn0175471	FBgn0181836	
CG30340	FBgn0175472	FBgn0181837	
CG30343	FBgn0174372	FBgn0189440	
CG30349	FBgn0175956	FBgn0182379	
CG30354	FBgn0173673	FBgn0183669	
CG30355	FBgn0175553	FBgn0181923	
CG30356	FBgn0175547	FBgn0181914	
CG3036	FBgn0173407	FBgn0194694	
CG30369	FBgn0175900	FBgn0182324	
CG30371	FBgn0175583	FBgn0186954	
CG30373	FBgn0175593	FBgn0181954	
CG30375	FBgn0175584	FBgn0181948	
CG30376	FBgn0175585	FBgn0181949	
CG30378	FBgn0175876	FBgn0182296	
CG30379	FBgn0175873	FBgn0182291	
CG3038	FBgn0173952	FBgn0067529	
CG30380	FBgn0175624	FBgn0181984	
CG30381	FBgn0175626	FBgn0181986	
CG30384	FBgn0175820	FBgn0182236	
CG30391	FBgn0170653	FBgn0196526	
CG30392	FBgn0170649	FBgn0196522	
CG30393	FBgn0170652	FBgn0196525	
CG30394	FBgn0170643	FBgn0196516	
CG30398	FBgn0170776	FBgn0183363	
CG3040	FBgn0172397	FBgn0187802	
CG30403	FBgn0170607	FBgn0196482	
CG30411	FBgn0170926	FBgn0183500	
CG30412	FBgn0170481	FBgn0196376	
CG30413	FBgn0170477	FBgn0196373	
CG30415	FBgn0170468	FBgn0196365	
CG30416	FBgn0170480	FBgn0196375	
CG30417	FBgn0170479	FBgn0196374	
CG30419	FBgn0173169	FBgn0196280	
CG30421	FBgn0166835	FBgn0183631	
CG30423	FBgn0166726	FBgn0196227	
CG30427	FBgn0166721	FBgn0196224	
CG30428	FBgn0166870	FBgn0183662	
CG30429	FBgn0166869	FBgn0183661	
CG30430	FBgn0166866	FBgn0183658	
CG30431	FBgn0171454	FBgn0182172	
CG30432	FBgn0171391	FBgn0182102	
CG30438	FBgn0171426	FBgn0182147	
CG30441	FBgn0166038	FBgn0182133	
CG30447	FBgn0176863	FBgn0183234	
CG3045	FBgn0170576	FBgn0186880	
CG30456	FBgn0176636	FBgn0183000	
CG30460	FBgn0174893	FBgn0196788	
CG30463	FBgn0174923	FBgn0196810	
CG30466	FBgn0176508	FBgn0182885	
CG30467	FBgn0176502	FBgn0182879	
CG30471	FBgn0176501	FBgn0182878	
CG30472	FBgn0175022	FBgn0196903	
CG30484	FBgn0176375	FBgn0189445	
CG30485	FBgn0176377	FBgn0182749	
CG30486	FBgn0175214	FBgn0197089	
CG30487	FBgn0175206	FBgn0197082	
CG30488	FBgn0175215	FBgn0197090	
CG30491	FBgn0175849	FBgn0182268	
CG30495	FBgn0175850	FBgn0182269	
CG30497	FBgn0175640	FBgn0181997	
CG30499	FBgn0175659	FBgn0182014	
CG30503	FBgn0175678	FBgn0182033	
CG3061	FBgn0179011	FBgn0190453	
CG3062	FBgn0167613	FBgn0187912	
CG3065	FBgn0170990	FBgn0183556	
CG3071	FBgn0174121	FBgn0068685	
CG3077	FBgn0173108	FBgn0194200	
CG3078	FBgn0173801	FBgn0068662	
CG3081	FBgn0167614	FBgn0187913	
CG3085	FBgn0170899	FBgn0183475	
CG3088	FBgn0179715	FBgn0184632	
CG3091	FBgn0173802	FBgn0187998	
CG3092	FBgn0170908	FBgn0183484	
CG31002	FBgn0167030	FBgn0188062	
CG31004	FBgn0167042	FBgn0188172	
CG31007	FBgn0167054	FBgn0188275	
CG31008	FBgn0167056	FBgn0188286	
CG31010	FBgn0167076	FBgn0188453	
CG31013	FBgn0167081	FBgn0188493	
CG31016	FBgn0167830	FBgn0192963	
CG31019	FBgn0167827	FBgn0192960	
CG31021	FBgn0167828	FBgn0192961	
CG31028	FBgn0167115	FBgn0188830	
CG31029	FBgn0167120	FBgn0188893	
CG31033	FBgn0167153	FBgn0189188	
CG31036	FBgn0167774	FBgn0192915	
CG31038	FBgn0167771	FBgn0192912	
CG3104	FBgn0173094	FBgn0194188	
CG31041	FBgn0167174	FBgn0189273	
CG31050	FBgn0167226	FBgn0189567	
CG31051	FBgn0171209	FBgn0189577	
CG31055	FBgn0171244	FBgn0189608	
CG31058	FBgn0171247	FBgn0189611	
CG3106	FBgn0166295	FBgn0195893	
CG31068	FBgn0165328	FBgn0186803	
CG3107	FBgn0168487	FBgn0188269	
CG31075	FBgn0165103	FBgn0189649	
CG31077	FBgn0165308	FBgn0192757	
CG3108	FBgn0167552	FBgn0187857	
CG31087	FBgn0172634	FBgn0189744	
CG31088	FBgn0174303	FBgn0189329	
CG31089	FBgn0165228	FBgn0192697	
CG31091	FBgn0165227	FBgn0192696	
CG31093	FBgn0165166	FBgn0189702	
CG31097	FBgn0172638	FBgn0189748	
CG31098	FBgn0172640	FBgn0189750	
CG31099	FBgn0172635	FBgn0189745	
CG31100	FBgn0181147	FBgn0192292	
CG31102	FBgn0172639	FBgn0189749	
CG31103	FBgn0172725	FBgn0192638	
CG31105	FBgn0178320	FBgn0189792	
CG31108	FBgn0172658	FBgn0189768	
CG31109	FBgn0172668	FBgn0189776	
CG31111	FBgn0172667	FBgn0189774	
CG31115	FBgn0172695	FBgn0192610	
CG31120	FBgn0171381	FBgn0189785	
CG31121	FBgn0178314	FBgn0189787	
CG31125	FBgn0178338	FBgn0189811	
CG31126	FBgn0181470	FBgn0192573	
CG31128	FBgn0181453	FBgn0192556	
CG31139	FBgn0178481	FBgn0189950	
CG31140	FBgn0181396	FBgn0192505	
CG31141	FBgn0181388	FBgn0192498	
CG31142	FBgn0181390	FBgn0192500	
CG31145	FBgn0178418	FBgn0189894	
CG31148	FBgn0181373	FBgn0192482	
CG31156	FBgn0178498	FBgn0189967	
CG31157	FBgn0178947	FBgn0190390	
CG3117	FBgn0173095	FBgn0194189	
CG31174	FBgn0178551	FBgn0190018	
CG31176	FBgn0165942	FBgn0191450	
CG31178	FBgn0181233	FBgn0083455	
CG31183	FBgn0180603	FBgn0191794	
CG31189	FBgn0170033	FBgn0191500	
CG3119	FBgn0173099	FBgn0194192	
CG31191	FBgn0170039	FBgn0191504	
CG31195	FBgn0178031	FBgn0191518	
CG31198	FBgn0181224	FBgn0192354	
CG31199	FBgn0178033	FBgn0191520	
CG31200	FBgn0178032	FBgn0191519	
CG31202	FBgn0167141	FBgn0189094	
CG31204	FBgn0167031	FBgn0188073	
CG31205	FBgn0177998	FBgn0190870	
CG31206	FBgn0178076	FBgn0191559	
CG31207	FBgn0170032	FBgn0191498	
CG3121	FBgn0170996	FBgn0183560	
CG31211	FBgn0178852	FBgn0190307	
CG31213	FBgn0172593	FBgn0190828	
CG31219	FBgn0181538	FBgn0190809	
CG31220	FBgn0181705	FBgn0190808	
CG31221	FBgn0181693	FBgn0190795	
CG31223	FBgn0178005	FBgn0190878	
CG31226	FBgn0173584	FBgn0191628	
CG31229	FBgn0172787	FBgn0190746	
CG3123	FBgn0173100	FBgn0194193	
CG31231	FBgn0172786	FBgn0190744	
CG31235	FBgn0173619	FBgn0191658	
CG3124	FBgn0170484	FBgn0196380	
CG31244	FBgn0181758	FBgn0191594	
CG31245	FBgn0181760	FBgn0191596	
CG31249	FBgn0170268	FBgn0186767	
CG31251	FBgn0170269	FBgn0186768	
CG31262	FBgn0170296	FBgn0191720	
CG31265	FBgn0170130	FBgn0190646	
CG31266	FBgn0170131	FBgn0190647	
CG31267	FBgn0170132	FBgn0190648	
CG31268	FBgn0170118	FBgn0190637	
CG31269	FBgn0170129	FBgn0190645	
CG31272	FBgn0181009	FBgn0192173	
CG31275	FBgn0170324	FBgn0191745	
CG31278	FBgn0181015	FBgn0192179	
CG31279	FBgn0170073	FBgn0190602	
CG31286	FBgn0165852	FBgn0191373	
CG31287	FBgn0170057	FBgn0190588	
CG31288	FBgn0172637	FBgn0189747	
CG31291	FBgn0180599	FBgn0191791	
CG31294	FBgn0180612	FBgn0191807	
CG31296	FBgn0180619	FBgn0191813	
CG31301	FBgn0179088	FBgn0190523	
CG31313	FBgn0180699	FBgn0191886	
CG31320	FBgn0180713	FBgn0191898	
CG31321	FBgn0179023	FBgn0190465	
CG31323	FBgn0165263	FBgn0192714	
CG31326	FBgn0180728	FBgn0191914	
CG31327	FBgn0180731	FBgn0191917	
CG31337	FBgn0180783	FBgn0191962	
CG31342	FBgn0178935	FBgn0190380	
CG31344	FBgn0180652	FBgn0191846	
CG31345	FBgn0180834	FBgn0192009	
CG31347	FBgn0180844	FBgn0192017	
CG31357	FBgn0172687	FBgn0189797	
CG31358	FBgn0180901	FBgn0192075	
CG31360	FBgn0170178	FBgn0186838	
CG31365	FBgn0178456	FBgn0189930	
CG31368	FBgn0178850	FBgn0190305	
CG31373	FBgn0181014	FBgn0192178	
CG31380	FBgn0165167	FBgn0189703	
CG31381	FBgn0181492	FBgn0192593	
CG31388	FBgn0178797	FBgn0192140	
CG31391	FBgn0181017	FBgn0192181	
CG31404	FBgn0181761	FBgn0191597	
CG31406	FBgn0178743	FBgn0190210	
CG31407	FBgn0181048	FBgn0192208	
CG31414	FBgn0181375	FBgn0192485	
CG31418	FBgn0170140	FBgn0190653	
CG31419	FBgn0170141	FBgn0190654	
CG31431	FBgn0181232	FBgn0192361	
CG31436	FBgn0172746	FBgn0192663	
CG31437	FBgn0172752	FBgn0192667	
CG31441	FBgn0178796	FBgn0192139	
CG31446	FBgn0179111	FBgn0190543	
CG31457	FBgn0178455	FBgn0189929	
CG31459	FBgn0181715	FBgn0190817	
CG31460	FBgn0178606	FBgn0190071	
CG31463	FBgn0178584	FBgn0190056	
CG31464	FBgn0178582	FBgn0190055	
CG31465	FBgn0181236	FBgn0192366	
CG31467	FBgn0181016	FBgn0192180	
CG31468	FBgn0178414	FBgn0083454	
CG31469	FBgn0180767	FBgn0191949	
CG31472	FBgn0165920	FBgn0191434	
CG31473	FBgn0165921	FBgn0191435	
CG31475	FBgn0181679	FBgn0190780	
CG31477	FBgn0178728	FBgn0190192	
CG31482	FBgn0165848	FBgn0191369	
CG3149	FBgn0167562	FBgn0187869	
CG31493	FBgn0165880	FBgn0191397	
CG31495	FBgn0180760	FBgn0191943	
CG31496	FBgn0165897	FBgn0191413	
CG31510	FBgn0172657	FBgn0189767	
CG31515	FBgn0178434	FBgn0189911	
CG31516	FBgn0165670	FBgn0191189	
CG31517	FBgn0179006	FBgn0190449	
CG31523	FBgn0165646	FBgn0191166	
CG31525	FBgn0165703	FBgn0191221	
CG31528	FBgn0165701	FBgn0191219	
CG31533	FBgn0180732	FBgn0191918	
CG31542	FBgn0165748	FBgn0191268	
CG31546	FBgn0165553	FBgn0191089	
CG31547	FBgn0165574	FBgn0191105	
CG31548	FBgn0165552	FBgn0191088	
CG31550	FBgn0165758	FBgn0191279	
CG31559	FBgn0165511	FBgn0191052	
CG3156	FBgn0173970	FBgn0085901	
CG31560	FBgn0165826	FBgn0191342	
CG3160	FBgn0167563	FBgn0187870	
CG31600	FBgn0171040	FBgn0193049	
CG31601	FBgn0171037	FBgn0193046	
CG31606	FBgn0171678	FBgn0194885	
CG31609	FBgn0172310	FBgn0194964	
CG31612	FBgn0171043	FBgn0193052	
CG31619	FBgn0171058	FBgn0195678	
CG31627	FBgn0178265	FBgn0195655	
CG31633	FBgn0168974	FBgn0193960	
CG31635	FBgn0168985	FBgn0193961	
CG31636	FBgn0168963	FBgn0193959	
CG31637	FBgn0173541	FBgn0194801	
CG31638	FBgn0173539	FBgn0194798	
CG31643	FBgn0173498	FBgn0194764	
CG31644	FBgn0172902	FBgn0194027	
CG3165	FBgn0173289	FBgn0194586	
CG31650	FBgn0172949	FBgn0183722	
CG31659	FBgn0171525	FBgn0194305	
CG31661	FBgn0171735	FBgn0194491	
CG31663	FBgn0171496	FBgn0194281	
CG31673	FBgn0178242	FBgn0195632	
CG31674	FBgn0178243	FBgn0195634	
CG31675	FBgn0178250	FBgn0195639	
CG31676	FBgn0178244	FBgn0195635	
CG31677	FBgn0174457	FBgn0189347	
CG31678	FBgn0178183	FBgn0193113	
CG3168	FBgn0167492	FBgn0187812	
CG31688	FBgn0178215	FBgn0195605	
CG31689	FBgn0173265	FBgn0194563	
CG31690	FBgn0173264	FBgn0194561	
CG31693	FBgn0171068	FBgn0195687	
CG31694	FBgn0173093	FBgn0194187	
CG31698	FBgn0173068	FBgn0194165	
CG31704	FBgn0181455	FBgn0195161	
CG31705	FBgn0165993	FBgn0193577	
CG31706	FBgn0165990	FBgn0193576	
CG31708	FBgn0167487	FBgn0193771	
CG31709	FBgn0167334	FBgn0193757	
CG31710	FBgn0167278	FBgn0193750	
CG31712	FBgn0167055	FBgn0193729	
CG31715	FBgn0173098	FBgn0195057	
CG31717	FBgn0172955	FBgn0195045	
CG31728	FBgn0165295	FBgn0195251	
CG31729	FBgn0165354	FBgn0195255	
CG31730	FBgn0180561	FBgn0193489	
CG31731	FBgn0170112	FBgn0195289	
CG31735	FBgn0173545	FBgn0195385	
CG31739	FBgn0172124	FBgn0195444	
